Sentence,Definition?
"However, recent work has shown that there is no canonical axiomatisation of a Boolean category.",0
"In this work, we will see a series (with increasing strength) of possible such axiomatisations, all based on the notion of * -autonomous category.",0
"We will particularly focus on the medial map, which has its origin in an inference rule in KS , a cut-free deductive system for Boolean logic in the calculus of structures.",0
"Finally, we will present a category of proof nets as a particularly well-behaved example of a Boolean category.",0
We raise the question of saying what it means for a functor between abelian categories to preserve homology.,0
We give a kind of answer and explore the reasons it is unsatisfactory in general (although fine for left or right exact functors).,0
"A category C  is additive if and only if, for every object B  of C , the category Pt(C, B)  of pointed objects in the comma category (C, B)  is canonically equivalent to C .",1
"We reformulate the proof of this known result in order to obtain a stronger one that uses not all objects of B  of C , but only a conveniently defined generating class S .",0
"If C  is a variety of universal algebras, then one can take S  to be the class consisting of any single free algebra on a non-empty set.",0
Lawvere has urged a project of characterizing petit toposes which have the character of generalized spaces and gros toposes which have the character of categories of spaces.,0
Etendues and locally decidable toposes are seemingly petit and have a natural common generalization in sites with all idempotents identities.,0
This note shows every Grothendieck topos has such a site.,0
"More, it defines slanted products which take any site to an equivalent one way site, a site where all endomorphisms are identities.",0
On the other hand subcanonical one-way sites are very special.,0
A site criterion for petit toposes will probably require subcanonical sites.,0
In this paper we explain the relationship between Frobenius objects in monoidal categories and adjunctions in 2-categories.,0
"Specifically, we show that every Frobenius object in a monoidal category M  arises from an ambijunction (simultaneous left and right adjoints) in some 2-category {D}  into which M  fully and faithfully embeds.",0
"Since a 2D topological quantum field theory is equivalent to a commutative Frobenius algebra, this result also shows that every 2D TQFT is obtained from an ambijunction in some 2-category.",0
Our theorem is proved by extending the theory of adjoint monads to the context of an arbitrary 2-category and utilizing the free completion under Eilenberg-Moore objects.,0
"We then categorify this theorem by replacing the monoidal category M  with a semistrict monoidal 2-category M , and replacing the 2-category {D}  into which it embeds by a semistrict 3-category.",0
"To state this more powerful result, we must first define the notion of a `Frobenius pseudomonoid', which categorifies that of a Frobenius object.",0
"We then define the notion of a `pseudo ambijunction', categorifying that of an ambijunction.",0
"In each case, the idea is that all the usual axioms now hold only up to coherent isomorphism.",0
"Finally, we show that every Frobenius pseudomonoid in a semistrict monoidal 2-category arises from a pseudo ambijunction in some semistrict 3-category.",0
A flow is homotopy continuous if it is indefinitely divisible up to S -homotopy.,1
The full subcategory of cofibrant homotopy continuous flows has nice features.,0
"Not only it is big enough to contain all dihomotopy types, but also a morphism between them is a weak dihomotopy equivalence if and only if it is invertible up to dihomotopy.",0
"Thus, the category of cofibrant homotopy continuous flows provides an implementation of Whitehead's theorem for the full dihomotopy relation, and not only for S -homotopy as in previous works of the author.",0
This fact is not the consequence of the existence of a model structure on the category of flows because it is known that there does not exist any model structure on it whose weak equivalences are exactly the weak dihomotopy equivalences.,0
This fact is an application of a general result for the localization of a model category with respect to a weak factorization system.,0
"We give here some examples of non pointed protomodular categories  C  satisfying a property similar to the property of representation of actions which holds for the pointed protomodular category Gp  of groups: any slice category of Gp , any category of groupoids with a fixed set of objects, any essentially affine category.",0
"This property gives rise to an internal construction of the center of any object X , and consequently to a specific characterization of the abelian objects in  C .",0
The paper generalizes the notion of a congruence on a category and pursues some of its applications.,0
"In particular, generalized congruences are used to provide a concrete construction of coequalizers in {cal C}at .",0
"Extremal, regular and various other classes of epimorphic functors are characterized and inter-related.",0
We prove that certain categories arising from atoms in a Grothendieck topos are themselves Grothendieck toposes.,0
We also investigate enrichments of these categories over the base topos; there are in fact often two distinct enrichments.,0
"A category may bear many monoidal structures, but (to within a unique isomorphism) only one structure of `category with finite products'.",0
"To capture such distinctions, we consider on a 2-category those 2-monads for which algebra structure is essentially unique if it exists, giving a precise mathematical definition of `essentially unique' and investigating its consequences.",0
We call such 2-monads property-like.,0
"We further consider the more restricted class of fully property-like 2-monads, consisting of those property-like 2-monads for which all 2-cells between (even lax) algebra morphisms are algebra 2-cells.",1
"The consideration of lax morphisms leads us to a new characterization of those monads, studied by Kock and Zoberlein, for which `structure is adjoint to unit', and which we now call lax-idempotent 2-monads: both these and their colax-idempotent duals are fully property-like.",0
"We end by showing that (at least for finitary 2-monads) the classes of property-likes, fully property-likes, and lax-idempotents are each coreflective among all 2-monads.",0
"Given a bicategory, 2, with stable local coequalizers, we construct a bicategory of monads Y-mnd  by using lax functors from the generic 0-cell, 1-cell and 2-cell, respectively, into Y.",0
Any lax functor into Y  factors through Y-mnd  and the 1-cells turn out to be the familiar bimodules.,0
"The locally ordered bicategory rel  and its bicategory of monads both fail to be Cauchy-complete, but have a well-known Cauchy-completion in common.",0
This prompts us to formulate a concept of Cauchy-completeness for bicategories that are not locally ordered and suggests a weakening of the notion of monad.,0
"For this purpose, we develop a calculus of general modules between unstructured endo-1-cells.",0
"These behave well with respect to composition, but in general fail to have identities.",0
"To overcome this problem, we do not need to impose the full structure of a monad on endo-1-cells.",0
We show that associative coequalizing multiplications suffice and call the resulting structures interpolads.,0
"Together with structure-preserving i-modules these form a bicategory Y-int  that is indeed Cauchy-complete, in our sense, and contains the bicategory of monads as a not necessarily full sub-bicategory.",0
"Interpolads over rel are idempotent relations, over the suspension of set they correspond to interpolative semi-groups, and over spn they lead to a notion of ``category without identities'' also known as ``taxonomy''.",0
"If Y  locally has equalizers, then modules in general, and the bicategories Y-mnd  and Y-int  in particular, inherit the property of being closed with respect to 1-cell composition.",0
"For m &gt; = n &gt; 0 , a map f  between pointed spaces is said to be a weak [n, m] -equivalence if f  induces isomorphisms of the homotopy groups pi_k for n &lt; = k &lt; = m~ .",1
Associated with this notion we give two different closed model category structures to the category of pointed spaces.,0
Both structures have the same class of weak equivalences but different classes of fibrations and therefore of cofibrations.,0
"Using one of these structures, one obtains that the localized category is equivalent to the category of n -reduced CW-complexes with dimension less than or equal to m+1  and m -homotopy classes of cellular pointed maps.",0
Using the other structure we see that the localized category is also equivalent to the homotopy category of (n-1) -connected (m+1) -coconnected CW-complexes.,0
"In this paper, we construct a neat description of the passage from crossed squares of commutative algebras to 2-crossed modules analogous to that given by Conduche in the group case.",0
"We also give an analogue, for commutative algebra, of T .",0
Porter's simplicial groups to n -cubes of groups which implies an inverse functor to Conduche's one.,0
We give a precise characterization for when the models of the tensor product of sketches are structurally isomorphic to the models of either sketch in the models of the other.,0
For each base category K  call the just mentioned property (sketch) K -multilinearity.,1
"Say that two sketches are K -compatible with respect to base category K  just in case in each K -model, the limits for each limit specification in each sketch commute with the colimits for each colimit specification in the other sketch and all limits and colimits are pointwise.",1
Two sketches are K -multilinear if and only if the two sketches are K -compatible.,1
This property then extends to strong Colimits of sketches.,0
We shall use the technically useful property of limited completeness and completeness of every category of models of sketches.,0
"That is, categories of sketch models have all limits commuting with the sketched colimits and and all colimits commuting with the sketched limits.",0
"Often used implicitly, the precise statement of this property and its proof appears here.",0
"Each full reflective subcategory X  of a finitely-complete category C  gives rise to a factorization system (E, M)  on C , where E  consists of the morphisms of C  inverted by the reflexion I : C --&gt; X .",0
"Under a simplifying assumption which is satisfied in many practical examples, a morphism f : A --&gt; B  lies in M  precisely when it is the pullback along the unit etaB : B --&gt; IB  of its reflexion If : IA --&gt; IB ; whereupon f  is said to be a trivial covering of B .",0
"Finally, the morphism f : A --&gt; B  is said to be a covering of B  if, for some effective descent morphism p : E --&gt; B , the pullback p^*f  of f  along p  is a trivial covering of E .",1
"This is the absolute notion of covering; there is also a more general relative one, where some class Theta  of morphisms of C  is given, and the class Cov(B)  of coverings of B  is a subclass—or rather a subcategory—of the category C downarrow B subset C/B  whose objects are those f : A --&gt; B  with f  in Theta .",0
"Many questions in mathematics can be reduced to asking whether Cov(B)  is reflective in C downarrow B ; and we give a number of disparate conditions, each sufficient for this to be so.",0
"In this way we recapture old results and establish new ones on the reflexion of local homeomorphisms into coverings, on the Galois theory of commutative rings, and on generalized central extensions of universal algebras.",0
"We define a localization L  of a category E  to be quintessential if the left adjoint to the inclusion functor is also right adjoint to it, and persistent if L  is closed under subobjects in E .",1
"We show that quintessential localizations of an arbitrary Cauchy-complete category correspond to idempotent natural endomorphisms of its identity functor, and that they are necessarily persistent.",0
"Our investigation of persistent localizations is largely restricted to the case when E  is a topos: we show that persistence is equivalence to the closure of L  under finite coproducts and quotients, and that it implies that L  is coreflective as well as reflective, at least provided E  admits a geometric morphism to a Boolean topos.",0
"However, we provide examples to show that the reflector and coreflector need not coincide.",0
"We analyze the Bianchi Identity as an instance of a basic fact of combinatorial groupoid theory, related to the Homotopy Addition Lemma.",0
"Here it becomes formulated in terms of 2-forms with values in the gauge group bundle of a groupoid, and leads in particular to the (Chern-Weil) construction of characteristic classes.",0
"The method is that of synthetic differential geometry, using ``the first neighbourhood of the diagonal'' of a manifold as its basic combinatorial structure.",0
We introduce as a tool a new and simple description of wedge (exterior) products of differential forms in this context.,0
Results on the finiteness of induced crossed modules are proved both algebraically and topologically.,0
"Using the Van Kampen type theorem for the fundamental crossed module, applications are given to the 2-types of mapping cones of classifying spaces of groups.",0
"Calculations of the cohomology classes of some finite crossed modules are given, using crossed complex methods.",0
The classical infinite loopspace machines in fact induce an equivalence of categories between a localization of the category of symmetric monoidal categories and the stable homotopy category of -1-connective spectra.,0
Strong promonoidal functors are defined.,0
"Left Kan extension (also called ""existential quantification"") along a strong promonoidal functor is shown to be a strong monoidal functor.",0
A construction for the free monoidal category on a promonoidal category is provided.,0
A Fourier-like transform of presheaves is defined and shown to take convolution product to cartesian product.,0
In this paper we study the lattice of quantic conuclei for orthomudular lattices.,0
We show that under certain condition we can get a complete characterization of all quantic conuclei.,0
"The thing to note is we use a non commutative, non associative disjunction operation which can be thought of as non commutative, non associative linear logic.",0
We discuss two versions of a conjecture attributed to M Barr.,0
The Harrison cohomology of a commutative algebra is known to coincide with the Andre/Quillen cohomology over a field of characteristic zero but not in prime characteristics.,0
"The conjecture is that a modified version of Harrison cohomology, taking into account torsion, always agrees with Andre/Quillen cohomology.",0
We give a counterexample.,0
The purpose is to give a simple proof that a category is equivalent to a small category if and only if both it and its presheaf category are locally small.,0
"We introduce MD-sketches, which are a particular kind of Finite Sum sketches.",1
Two interesting results about MD-sketches are proved.,0
"First, we show that, given two MD-sketches, it is algorithmically decidable whether their model categories are equivalent.",0
"Next we show that data-specifications, as used in database-design and software engineering, can be translated to MD-sketches.",0
"As a corollary, we obtain that equivalence of data-specifications is decidable.",0
The Medial rule was first devised as a deduction rule in the Calculus of Structures.,0
"In this paper we explore it from the point of view of category theory, as additional structure on a * -autonomous category.",0
"This gives us some insights on the denotational semantics of classical propositional logic, and allows us to construct new models for it, based on suitable generalizations of the theory of coherence spaces.",0
"Tilings of rectangles with rectangles, and tileorders (the associated double order structures) are useful as ``templates'' for composition in double categories.",0
"In this context, it is particularly relevant to ask which tilings may be joined together, two rectangles at a time, to form one large rectangle.",0
"We characterize such tilings via forbidden suborders, in a manner analogous to Kuratowski's characterization of planar graphs.",0
We formulate three slightly different notions of oriented singular chain complexes and show that all three are naturally homotopic to ordinary singular chain complexes.,0
"In 1975, Brown constructed a functor cal P  which carries the tower of fundamental groups of the end of a (nice) space to the Brown-Grossman fundamental group.",0
"In this work, we study this functor and its extensions and analogues defined for pro-sets, pro-pointed sets, pro-groups and pro-abelian groups.",0
The new versions of the cal P  functor are provided with more algebraic structure.,0
"Examples given in the paper prove that in general the cal P  functors are not faithful, however, one of our main results establishes that the restrictions of the corresponding cal P  functors to the full subcategories of towers are faithful.",0
We also prove that the restrictions of the cal P  functors to the corresponding full subcategories of finitely generated towers are also full.,0
"Consequently, in these cases, the towers of objects in the categories of sets, pointed sets, groups and abelian groups, can be replaced by adequate algebraic models ( M -sets, M -pointed sets, near-modules and modules.)",0
The article also contains the construction of left adjoints for the cal P  functors.,0
Free regular and exact completions of categories with various ranks of weak limits are presented as subcategories of presheaf categories.,0
Their universal properties can then be derived with standard techniques as used in duality theory.,0
"For an adjoint string V -| W -| X -| Y : B --&gt; C , with Y  fully faithful, it is frequently, but not always, the case that the composite VY  underlies an idempotent monad.",0
"When it does, we call the string distributive.",1
We also study shorter and longer `distributive' adjoint strings and how to generate them.,0
"These provide a new construction of the simplicial 2-category, Delta .",0
We prove how any (elementary) topos may be reconstructed from the data of two complemented subtoposes together with a pair of left exact ``glueing functors''.,0
"This generalizes the classical glueing theorem for toposes, which deals with the special case of an open subtopos and its closed complement.",0
"Our glueing analysis applies in a particularly simple form to a locally closed subtopos and its complement, and one of the important properties (prolongation by zero for abelian groups) can be succinctly described in terms of it.",0
"Locally finitely presentable categories are known to be precisely the categories of models of essentially algebraic theories, that is, categories of partial algebras whose domains of definition are determined by equations in total operations.",0
Here we show an analogous description of locally finitely multipresentable categories.,0
"We also prove that locally finitely multipresentable categories are precisely categories of models of sketches with finite limit and countable coproduct specifications, and we present an example of a locally finitely multipresentable category not sketchable by a sketch with finite limit and finite colimit specifications.",0
Some sufficient conditions for finiteness of a generalized non-abelian tensor product of groups are established extending Ellis' result for compatible actions.,0
We take another look at the Chu construction and show how to simplify it by looking at it as a module category in a trivial Chu category.,0
"This simplifies the construction substantially, especially in the case of a non-symmetric biclosed monoidal category.",0
"We also show that if the original category is accessible, then for any of a large class of ``polynomial-like'' functors, the category of coalgebras has cofree objects.",0
We obtain some explicit calculations of crossed Q -modules induced from a crossed module over a normal subgroup P  of Q .,0
"By virtue of theorems of Brown and Higgins, this enables the computation of the homotopy 2-types and second homotopy modules of certain homotopy pushouts of maps of classifying spaces of discrete groups.",0
"This note applies techniques we have developed to study coherence in monoidal categories with two tensors, corresponding to the tensor-par fragment of linear logic, to several new situations, including Hyland and de Paiva's Full Intuitionistic Linear Logic (FILL), and Lambek's Bilinear Logic (BILL).",0
Note that the latter is a noncommutative logic; we also consider the noncommutative version of FILL.,0
The essential difference between FILL and BILL lies in requiring that a certain tensorial strength be an isomorphism.,0
"In any FILL category, it is possible to isolate a full subcategory of objects (the ``nucleus'') for which this transformation is an isomorphism.",0
"In addition, we define and study the appropriate categorical structure underlying the MIX rule.",0
"For all these structures, we do not restrict consideration to the ``pure'' logic as we allow non-logical axioms.",0
"We define the appropriate notion of proof nets for these logics, and use them to describe coherence results for the corresponding categorical structures.",0
We establish a general coherence theorem for lax operad actions on an n -category which implies that an n -category with such an action is lax equivalent to one with a strict action.,0
"This includes familiar coherence results (for example, for symmetric monoidal categories) and many new ones.",0
"In particular, any braided monoidal n -category is lax equivalent to a strict braided monoidal n -category.",0
We also obtain coherence theorems for A_{infinity}  and E_{infinity}  rings and for lax modules over such rings.,0
Using these results we give an extension of Morita equivalence to A_{infinity}  rings and some applications to infinite loop spaces and algebraic K -theory.,0
"In a 1981 book, Putnam claimed that in a pure relational language without equality, for any model of a relation that was neither empty nor full, there was another model that satisfies the same first order sentences.",0
Ed Keenan observed that this was false for finite models since equality is a definable predicate in such cases.,0
"This note shows that Putnam's claim is true for infinite models, although it requires a more sophisticated proof than the one outlined by Putnam.",0
We pursue the definition of a KZ -doctrine in terms of a fully faithful adjoint string Dd -| m -| dD .,0
We give the definition in any Gray-category.,0
The concept of algebra is given as an adjunction with invertible counit.,0
We show that these doctrines are instances of more general pseudomonads.,0
The algebras for a pseudomonad are defined in more familiar terms and shown to be the same as the ones defined as adjunctions when we start with a KZ -doctrine.,0
Let E  be a simplicial commutative algebra such that E_n  is generated by degenerate elements.,0
It is shown that in this case the n th term of the Moore complex of E  is generated by images of certain pairings from lower dimensions.,0
"This is then used to give a description of the boundaries in dimension n-1  for n = 2 , 3, and 4.",0
"The notion of separable (alternatively unramified, or decidable}) objects and their place in a categorical theory of space have been described by Lawvere, drawing on notions of separable from algebra and unramified from geometry.",0
"In his work, Schanuel constructed the generic separable object in an extensive category with products as an object of the free category with finite sums on the dual of the category of finite sets and injections.",0
"We present here a generalization of the work of Schaunel, replacing the category of finite sets and injections by a category cat A  with a suitable factorization system.",0
"We describe the analogous construction, and identify and prove a universal property of the constructed category for both extensive categories and extensive categories with products (in the case cat A  admits sums).",0
"In constructing the machinery for proving the required universal property, we recall briefly the boolean algebra structure of the summands of an object in an extensive category.",0
"We further present a notion of direct image for certain maps in an extensive category, to allow construction of left adjoints to the inverse image maps obtained from pullbacks.",0
"In terms of synthetic differential geometry, we give a variational characterization of the connection (parallelism) associated to a pseudo-Riemannian metric on a manifold.",0
"Using free simplicial groups, it is shown how to construct a free or totally free 2-crossed module on suitable construction data.",0
2-crossed complexes are introduced and similar freeness results for these are discussed.,0
"Generalising a result of Brown and Loday, we give for n = 3  and 4, a decomposition of the group, d_nNG_n, of boundaries of a simplicial group G as a product of commutator subgroups.",0
Partial results are given for higher dimensions.,0
Applications to 2-crossed modules and quadratic modules are discussed.,0
"This paper shows that, given a factorization system, E/M  on a closed symmetric monoidal category, the full subcategory of separated extensional objects of the Chu category is also star-autonomous under weaker conditions than had been given previously.",0
In the process we find conditions under which the intersection of a full reflective subcategory and its coreflective dual in a Chu category is star-autonomous.,0
"We introduce a notion of equipment which generalizes the earlier notion of pro-arrow equipment and includes such familiar constructs as relK , spnK , parK , and proK  for a suitable category K , along with related constructs such as the V - pro  arising from a suitable monoidal category V .",0
"We further exhibit the equipments as the objects of a 2-category, in such a way that arbitrary functors F: eL ---&gt; K  induce equipment arrows rel F: releL ---&gt;relK , spn F: spneL ---&gt; spnK , and so on, and similarly for arbitrary monoidal functors V ---&gt; W .",0
"The article I with the title above dealt with those equipments M  having each M(A, B)  only an ordered set, and contained a detailed analysis of the case M = relK ; in the present article we allow the M(A, B)  to be general categories, and illustrate our results by a detailed study of the case M = spnK .",0
"We show in particular that spn  is a locally-fully-faithful 2-functor to the 2-category of equipments, and determine its image on arrows.",0
"After analyzing the nature of adjunctions in the 2-category of equipments, we are able to give a simple characterization of those spn G  which arise from a geometric morphism G .",0
The theory of enriched accessible categories over a suitable base category V  is developed.,0
"It is proved that these enriched accessible categories coincide with the categories of flat functors, but also with the categories of models of enriched sketches.",0
A particular attention is devoted to enriched locally presentable categories and enriched functors.,0
We show that the homotopy category of simplicial diagrams I-SS  indexed by a small category I  is equivalent to a homotopy category of SSdownarrow NI  simplicial sets over the nerve NI .,0
"Then their equivalences, by means of the nerve functor N : Cat --&gt; SS  from the category Cat  of small categories, with respective homotopy categories associated to Cat  are established.",0
"Consequently, an equivariant simplicial version of the Whitehead Theorem is derived.",0
"Using descent theory we give various forms of short five-lemma in protomodular categories, known in the case of exact protomodular categories.",0
We also describe the situation where the notion of a semidirect product can be defined categorically.,0
"In the literature there are several kinds of concrete and abstract cell complexes representing composition in n -categories, omega -categories or infinity -categories, and the slightly more general partial omega -categories.",0
"Some examples are parity complexes, pasting schemes and directed complexes.",0
"In this paper we give an axiomatic treatment: that is to say, we study the class of ` omeg -complexes' which consists of all complexes representing partial omega -categories.",0
We show that omega -complexes can be given geometric structures and that in most important examples they become well-behaved CW complexes; we characterise omega -complexes by conditions on their cells; we show that a product of omega -complexes is again an omega -complex; and we describe some products in detail.,0
"If cal M  is both an abelian category and a symmetric monoidal closed category, then it is natural to ask whether projective objects in cal M  are flat, and whether the tensor product of two projective objects is projective.",0
"In the most familiar such categories, the answer to these questions is obviously yes.",0
"However, the category cal M_G  of Mackey functors for a compact Lie group G  is a category of this type in which projective objects need not be so well-behaved.",0
This category is of interest since good equivariant cohomology theories are Mackey functor valued.,0
"The tensor product on cal M_G  is important in this context because of the role it plays in the not yet fully understood universal coefficient and K""{u}nneth formulae.",0
This role makes the relationship between projective objects and the tensor product especially critical.,0
"Unfortunately, if G  is, for example, O(n) , then projectives need not be flat in cal M_G  and the tensor product of projective objects need not be projective.",0
"This misbehavior complicates the search for full strength equivariant universal coefficient and K""{u}nneth formulae.",0
The primary purpose of this article is to investigate these questions about the interaction of the tensor product with projective objects in symmetric monoidal abelian categories.,0
Our focus is on functor categories whose monoidal structures arise in a fashion described by Day.,0
Conditions are given under which such a structure interacts appropriately with projective objects.,0
"Further, examples are given to show that, when these conditions aren't met, this interaction can be quite bad.",0
These examples were not fabricated to illustrate the abstract possibility of misbehavior.,0
"Rather, they are drawn from the literature.",0
"In particular, cal M_G  is badly behaved not only for the groups O(n) , but also for the groups SO(n) , U(n) , SU(n) , Sp(n) , and  Spin(n) .",0
Similar misbehavior occurs in two categories of global Mackey functors which are widely used in the study of classifying spaces of finite groups.,0
"Given the extent of the homological misbehavior in Mackey functor categories described here, it is reasonable to expect that similar problems occur in other functor categories carrying symmetric monoidal closed structures provided by Day's machinery.",0
We give an abstract characterization of categories which are localizations of Maltsev varieties.,0
These results can be applied to characterize localizations of naturally Maltsev varieties.,0
"Using the Chu-construction, we define a group algebra for topological Hausdorff groups.",0
"Furthermore, for isometric, weakly continuous representations of a subgroup H  of a Hausdorff group G  induced representations are constructed.",0
Exponentiable spaces are characterized in terms of convergence.,0
