Sentence,Definition?
"A subset  E  of the metric space  (X,rho)  is totally bounded if for all  varepsilon > 0  , there exists a finite set  {x_i}_{i=1}^n  of points in  X  such that  E subseteq bigcup_{i=1}^n B(x_i, varepsilon),  where  B(x_i, varepsilon) = {x in X mid rho(x_i,x)< varepsilon}  .",1
"That is, for every  varepsilon > 0  ,  E  can be covered by a finite set of balls of radius  varepsilon  .",0
The conjugate matrix transpose of a complex  mtimes n  matrix  A  is the  n times m  matrix  A^*  given by taking the usual matrix transpose  A^T  and then setting  A^*  to be the matrix whose entries are the complex conjugate of each entry of  A^T  .,1
An algebra over a field  F  is a vector space  U  over  F  with a bilinear binary operation  Utimes U to U  that is not necessarily associative but that follows left and right distributivity.,1
One can loosen this definition and only require  F  to be a commutative ring.,0
"Let  Msubsetmathbb R^n  be a compact, oriented embedded m - dimensional manifold with boundary.",0
Let  U  be an open set containing  M  and  omega  an m - form on  U  .,0
"For each  p in M  , choose a smooth local parametrization  phi_p: U_p to M  compatible with the orientation on  M  .",0
"Then the image  phi_p(U_p)  is an open subset of  M  , so there exists an open set  V_p subset mathbb R^n  such that  phi_p(U_p) = V_p cap M  because of the subspace topology.",0
"Since  M  is compact, finitely many of these  V_p  cover  M  .",0
Call them  V_i  for  1leq i leq k  .,0
Then  V = bigcuplimits_{i=1}^k V_i  is an open set containing  M  .,0
Let  {psi_j}  be a partition of unity subordinate to the  V_i  .,0
"Then  omega = sum_{j} psi_j omega  , so define  int_M omega = sum_{j} psi_jomega  .",0
The Kronecker delta  delta_{ij}  is a function of the two variables  i  and  j  defined by  delta_{ij} = } ,1
The width of a rectangle  Q  in  mathbb R^n  is the maximum of the lengths of the component intervals of  Q  :  text{width}(Q)= max_{1leq i leq n} (b_i - a_i)  .,1
The degree of a polynomial is the highest power of the variable in its expression as a formal sum  a_nx^n + cdots + a_0  for  a_i in R  .,1
Let  S  be a bounded set in  mathbb R^n  and let  f: S to mathbb R  be a bounded function.,0
Define  f_S: mathbb R^n to mathbb R  by  f_S(x)=}  .,0
A group  G  acts freely on the set  X  if it has trivial stabilizer.,1
"That is, if  gx=x  implies  g=e  for all  xin X  .",0
"For  A  an  mtimes n  matrix and  B  an  ntimes p  matrix with entries  (a_{ij})  and  (b_{kell})  respectively, the product  C=AB  is the  mtimes p  matrix whose entries are given by  c_{ij} = sum_{k=1}^n a_{ik}b_{kj}  for  1 leq i leq m  and  1 leq j leq m  .",1
"Note that this binary operation is not commutative, and  BA  may not even be defined even though  AB  is due to differing dimensions.",0
A graph  X  is connected if there is an edge path connecting every vertex of  X  to every other.,1
An automorphism of a Lie algebra  L  of the form  text{exp}(text{ad} (x))  where  text{ad}  is the adjoint representation is called an inner automorphism of  L  .,1
Let  A  and  B  be subspaces of the topological space  X  such that  X  is the union of the interiors of  A  and  B  .,0
"A Mayer - Vietoris sequence is an exact sequence of the form  cdotsto H_n(Acap B)to H_n(A)oplus H_n(B) to H_n(X) to H_{n - 1}(Acap B) tocdots   to H_0(X) to 0  .The arrows between  H_n(Acap B)  and  H_n(A)oplus H_n(B)  are generally labeled  Phi  , the arrows between  H_n(A)oplus H_n(B)  and  H_n(X)  are generally labeled  Psi  , and the arrows between degrees (the boundary homomorphisms) are as usual denoted  partial  .",1
Let  R  be a ring and  {M_i}_{iin I}  a family of left  R  - modules indexed by  I  .,0
"The direct sum of the  M_i  , written  bigoplus_{iin I} M_i,  is the set of all sequences  {a_i}_{iin I}  where  a_i in M_i  and  a_i=0  for ""cofinitely many"" indices.",1
"That is,  a_i neq 0  for finitely many  i  .",0
Let  text{Form}(L)  be a formal language of propositional logic.,0
"Then a proof of  S_kin text{Form}(L)  from a subset  Gammasubseteq text{Form}(L)  is a finite list of statements  S_1,dots, S_k  such that for all  S_i  , at least one of the following is true: (i)  S_i in Gamma  ; (ii)  S_i  is an axiom; (iii) there exist  j,ell < i  such that  S_ell = S_j rightarrow S_i  , i.e. that  S_i  ""is there by"" modus ponens.",1
"If there exists a proof from  Gamma subseteq text{Form}(L)  to  phi in text{Form}(L)  , we say that  Gamma  proves  phi  and we write  Gammavdash phi  .",1
"A subset  G  of a topological space  (X,mathcal T)  is open if it is an element of  mathcal T  .",1
"When  X  is a metric space, a subset  A subset X  is open if and only if for all  a in A  , there exists  varepsilon > 0  such that  B(a,varepsilon) = {x in X mid rho(a,x) < varepsilon}subset A  .",1
"A partition of a set  X  is a subset  mathcal S  of the power set  mathcal P(X)  such that (i)  Ain mathcal S  implies that  Aneq emptyset  ; (ii) For every  xin X  , there is a unique  Ain mathcal S  such that  xin A  .",1
"(Equivalently, the union of the sets  Ain mathcal S  is  X  and the intersection of any two elements of  mathcal S  is empty.)",1
Let  G  be a matrix Lie group.,0
Then the Lie algebra of  G  is the set of all matrices  X in M_n(mathbb C)  such that the matrix exponential  e^{tX} in G  for all  t in mathbb R  .,1
The Riemann sphere is a model of the extended complex plane  mathbb C cup {infty}  .,1
Let  U subset mathbb R^n  be open.,0
"A function  f: Uto mathbb R^m  is of class  C^k  if its derivatives  Df, D^2f,dots, D^kf  all exist and are continuous on  U  .",1
A multiplicative character on a topological group  G  is a homomorphism from  G  to the group of units of the field of complex numbers  mathbb C^times  .,1
Let  X  and  Y  be topological spaces.,0
Then a continuous function  f:Xto Y  is a homotopy equivalence if there exists a continuous function  g:Yto X  such that both  fcirc g  and  gcirc f  are homotopic to the respective identity functions on the domain.,1
The spaces  X  and  Y  are said to be homotopy equivalent or to have the same homotopy type .,1
Homotopy equivalence is an equivalence relation.,0
A permutation is a bijection from a set to itself.,1
A lattice is a partially ordered set in which every pair of elements has a unique infimum and a unique supremum.,1
"If  (X, leq)  is a lattice, we call the supremum of  x  and  y  the join of  x  and  y  and denote it  xlor y  .",1
"Similarly, we call the infimum of  x  and  y  their meet and denote it  xland y  .",1
These are in fact binary operations on  X  .,0
"Moreover, they respect the partial order on  X  .",0
"We can also define a lattice as a triple  (L, lor,land)  where  L  is a set and  lor  and  land  are two commutative, associative binary operations on  L  satisfying the following absorption laws for all  a,b in L  : (i)  alor (aland b) = a  ; (ii)  aland (alor b) = a  .",1
Immediately following these two laws we have that  aland a = a  and  alor a = a  .,0
It is easy to check that the poset notion of a lattice admits a description in the other form.,0
"To see the converse, define a partial order  leq  on  L  by setting  aleq b  if  a= aland b  or  aleq b  if  b = alor b  for all  a,bin L  .",0
A simplicial complex is a ∆ - complex whose simplices are uniquely determined by their vertices.,0
"That is, each n - simplex has  n+1  distinct vertices and no other n - simplex has this same set of vertices.",0
"Let  V  be a vector space over the field  mathbb R  of real numbers, and denote its basis by  {v_k}_{k=1}^n  .",0
The complexification of  V  is the vector space  V_mathbb C  over the field  mathbb C  of complex numbers with basis  {v_k}_{k=1}^n  .,1
An open cover  {U}  of a topological space  B  is locally finite if every point  bin B  is in only finitely many  U  .,1
Let  G  be a group acting on the sets  X  and  Y  .,0
"A function  f:Xto Y  is  G  - equivariant if for all  xin X  and all  gin G  ,  f(gcdot x) = gcdot f(x)  .",1
"If the function  f  is bijective, then this function is called a  G  - isomorphism .",1
A binary operation  cdot  on a set  A  is a function  Atimes Ato A  .,1
A representation  rho  of a group  G  is called completely reducible or is said to have the complete reducibility property if it can be written as a direct sum of irreducible representations.,1
"To define the Lebesgue integral for a general real - valued function, we must first define it for nonnegative functions.",0
"Let  (X,Sigma,mu)  be a measure space and let  f  be a nonnegative, measurable, extended - real - valued function on  X  (that is,  f(x) geq 0  for all  x in X  , and it may be the case that  f(x) = +infty  ).",0
"Define  int_X fdmu = supleft{int_X sdmu mid 0leq sleq f, s text{ simple}right}  where the supremum is taken over the Lebesgue integrals of nonnegative simple functions  s  less than  f  .",1
Now let  f  be a measurable extended - real - valued function on  X  .,0
Then  f  may be written as  f = f^+ - f^ -  where  f^+(x) =} quadtext{and}quad f^ - (x) = }  so that  f^+  and  f^ -  are both nonnegative and measurable.,0
Note that  |f| = f^+ + f^ -  .,0
The Lebesgue integral of the measurable function  f  exists if at least one of  int f^+dmu  and  int f^ - dmu  is finite.,0
"In this case, define  int f dmu = int f^+dmu - int f^ - dmu  .",0
"If  int|f|dmu < infty  , then  f  is Lebesgue integrable .",1
A sequence of homomorphisms  cdots to A_{n+1}to A_n to A_{n - 1}to cdots  where the arrow between  A_{k+1}  and  A_{k}  is labelled  alpha_{k+1}  is an exact sequence if the kernel of  alpha_k  is equal to the image of  alpha_{k+1}  .,1
"That is, if  text{Ker}(alpha_n) = text{Im}(alpha_{n+1})  .",0
"Equivalently, an exact sequence is a chain complex whose homology groups are all trivial.",1
"A binary operation  cdot  on the set  A  is commutative if for all  a,bin A  ,  ab = ba  .",1
A Lie group is a group that is also a manifold.,1
"Let  (X,leq)  be a poset and let  Ssubseteq X  .",0
"The infimum of this subset, if it exists, is a lower bound  a  of  S  in  X  such that",0
"for all lower bounds  y  of  S  in  X  ,  yleq a  .",0
"That is, the infimum is the greatest lower bound.",1
Let  F  be a field.,0
"An absolute value on  F  is a map  |cdot|:Fto mathbb R  such that (i)  |x| geq 0  for all  xin F  ; (ii)  |x| = 0  if and only if  x=0  ; (iii)  |x+y| leq |x| + |y|  for all  x,yin F  ; (iv)  |xcdot y| = |x|cdot |y|  for all  x,yin F  .",1
"Together,  1  and  2  make up the condition that  |cdot|  be positive definite while  3  is just the triangle inequality.",0
Let  R  be a ring and  M  and  N   R  - modules.,0
"If  f:Mto N  is a module homomorphism, the kernel of  f  is the set  {min Mmid f(m) = e_N}=text{ker}(f)subseteq M ",1
"The compact symplectic group  text{Sp}(n)  is the group intersection of the complex symplectic group  text{Sp}(2n,mathbb C)  and the unitary group  text{U}(2n)  :  text{Sp}(n) = text{Sp}(2n,mathbb C)captext{U}(2n)  .",1
It is a matrix Lie group.,0
"Let  P  be a partition of a set of the interval  a,b  .",0
Then arrange the elements of  P  in increasing order:  a = t_0 < t_1< cdots< t_k = b  .,0
"The  t_i, t_i+1  are the subintervals of  a,b  given by  P  .",0
The quadratic integers are algebraic integers of degree 2.,1
"Equivalently, they are solutions to monic, integer - valued polynomials of degree 2.",1
"That is, solutions to equations of the form  x^2+bx+c=0  .",0
"For each integer  d  , we have particular rings of quadratic integers given by  mathcal O_d = }  Moreover, these are Euclidean domains with norm  Nleft(x+ysqrt{d}right) = x^2+y^2sqrt{d}  .",0
"If we define for  alpha = x+ysqrt{d}  its conjugate  overline a = x - ysqrt d  , then  N(alpha) = alphaoverlinealpha  .",1
"Let  C  be a compact, rectifiable set in  mathbb R^{n - 1}  .",0
"Let  phi,psi: C tomathbb R  be continuous functions such that  phi(x) leq psi(x)  for all  x in C  .",0
"Then the set  S = {(x,t)mid xin C, phi(x) leq t leq psi(x)} subset mathbb R^{n - 1}times mathbb R  is called a simple region in  mathbb R^n  .",1
A point  x in X  a topological space is a limit point of the subset  Asubset X  if it is the limit of some sequence of elements of  A  .,1
"Let  (X,Sigma,mu)  be a measure space and let  {f_n}_{ninmathbb N}  be a sequence of functions  f_n: Xto mathbb R  .",0
"The sequence converges almost uniformly to  f  if for all  varepsilon > 0  , there exists a set  Ain Sigma  of measure less than  varepsilon  such that  f_n  converges uniformly to  f  on  Xsetminus A  .",1
"A face of an n - simplex  v_0,dots,v_n  is the subsimplex with vertices any nonempty subset of the  v_i  .",1
"By convention, these are ordered according to their order in the parent simplex.",0
"Let  (X, Sigma, mu)  be a measure space.",0
The Lebesgue integral of the characteristic function of a measurable set  A in Sigma  is defined to be  int chi_Admu = mu(A)  .,1
"Let  (V,rho)  be a representation of the group  G  .",0
"The  G  - invariant elements of  V  is  V^G = {vin Vmid rho(g)v=v},  the set of vectors in  V  left unchanged by the action of  G  .",1
Let  C  be a category.,0
"A morphism  fin text{Hom}_C(A,B)  is a monomorphism if for all objects  Z  of  C  and all morphisms  alpha,betain text{Hom}_C(Z,A)  ,  fcirc alpha = fcirc betaimplies alpha = beta  .",1
Let  L  be a Lie algebra.,0
"A vector subspace  K  of  L  is a subalgebra of  L  if  xy in K  whenever  x,y in K  .",1
"Moreover,  K  is itself a Lie algebra.",0
A module over a ring  M  is semisimple if it may be written as the direct sum of simple modules.,1
"A vector space  V  over the field  F  is a set together with two operations ""addition"" (  +: Vtimes V to V  ) and ""scalar multiplication"" (  cdot: Ftimes V to V  ) satisfying the following eight axioms: (i) Addition is associative; (ii) Addition is commutative; (iii) There exists a vector  0 in V  such that  0 + v = v  for all  v in V  ;  (  0  is the additive identity in  V  ) (iv) For every  v in V  , there exists  - v in V  such that  v + ( - v) = 0  (  - v  is the additive inverse of  v  );  (v)  a(bv)= (ab)v  for all  a,b in F  and  v in V  ; (vi)  1v = v  for all  v in V  , where  1  is the multiplicative identity in  F  ; (vii)  a(u+v) = au+av  for all  a in F  ,  u,v in V  ; (viii)  (a+b)v = av+bv  for all  a,b in F  ,  vin V  .",1
Axioms (vii) and (viii) are distributive laws.,0
Let  Dsubsetmathbb R^n  be connected and open.,0
"A function  f:Dto mathbb R  is harmonic if for all  zin D  and every  varepsilon > 0  with  text{dist}(z,partial D) > varepsilon  , then  f(z) = MV(f,z,varepsilon)  where  partial D  denotes the boundary of  D  and  MV  denotes the circular mean value.",1
"Equivalently, a function  f  is harmonic if its Laplacian is 0.",1
Let  Usubsetmathbb R^n  be an open subset and let  f:Utomathbb R  .,0
"The point  a in U  is a local maximum of  f  if there is a neighborhood  V  of  a  such that for all  x in V  ,  f(a)geq f(x)  .",1
"Euler's totient function , written  phi(n)  , is a function  mathbb Ntomathbb N  that gives the number of integers less than  n  that are coprime to  n  .",1
"That is, the number of integers less than  n  whose greatest common divisor with  n  is (i)",0
Let  p:mathcal Etomathcal B  and  p':mathcal E'to mathcal B  be coverings of groupoids.,0
"A map of coverings of groupoids (of  mathcal B  , specifically!) is a functor  g:mathcal Etomathcal E'  such that the following diagram of functors commutes:",1
The transpose of an  mtimes n  matrix  A = (a_{ij})  is the  ntimes m  matrix  A^T  whose entries are given by  a_{ji}  .,1
"Let  (X,x_0)  and  (Y,y_0)  be based topological spaces.",0
The wedge sum  Xvee Y  is the quotient of the disjoint union  Xamalg Y  given by identifying  x_0  and  y_0  to a single point.,1
A group is a set  G  together with a binary operation  cdot:Gtimes G to G  satisfying the following properties: (i)  cdot  is associative; (ii) there exists an identity element  e in G  such that  gcdot e = g = ecdot g  for all  g in G  ; (iii) for each  g in G  there exists an inverse element  g^{ - 1}  such that  gcdot g^{ - 1} = e = g^{ - 1}cdot g  .,1
Groups can be thought of as (i) associative magmas ;(ii) semigroups with an identity and with inverses; (iii)monoids with inverses; (iv) categories with a single object.,1
"A component interval of a rectangle  Q subset mathbb R^n  is one of the intervals  a_i,b_i  that make up the product.",1
"In the category of coverings of groupoids, let  text{Aut}(mathcal E) subset text{Cov}(mathcal E,mathcal E)  denote the group of automorphisms of  mathcal E  .",0
"Note that there do exist maps  g:mathcal Eto mathcal E  that are not isomorphisms because in general, we may have one conjugate subgroup be a proper subgroup of another.",0
A function of class  C^{infty}  is smooth .,1
"That is, a smooth function has continuous total derivative of all orders.",1
"The circle group , usually denoted  mathbb T  , is the complex  1  - torus.",1
"Equivalently, it is the multiplicative group of complex numbers with complex absolute value  1  .",1
"Let  (X,Sigma, mu)  be a measure space.",0
The essential supremum  alpha  is the largest real number such that  mu({xmid f(x) < alpha}) = 0  .,1
Let  X  be a based topological space and let  I  be the unit interval.,0
The reduced cone on  X  is the smash product  CX = Xwedge I  where  I  has as its basepoint  1  .,1
"Explicitly,  CX = (Xtimes I)/(({*}times I) cup (Xtimes{1}))  .",0
The usual cone is done without identifying the line  {*}times I  through the basepoint of  X  to a point.,0
"A rectangle  Q  in  mathbb R^n  is a product of intervals in  mathbb R  :  Q = a_1,b_1times cdotstimes a_n,b_n  .",1
Let  X  be a topological space.,0
An open cover of  A  is a collection of open subsets of  X  such that  A  lies in the union of the elements of the collection.,1
"That is, an open covering is a collection  {G_lambda}_{lambdainLambda}  of subsets of  X  such that  Asubset bigcuplimits_{lambdainLambda} G_lambda  .",1
Let  M  be a manifold with boundary.,0
"The boundary points of  M  are the points  pin M  for which there exists a chart  (U,phi)  such that  phi(p) in partial H^m  , the boundary of the closed half - space.",1
A function  f:Ato B  is surjective if for all  b in B  there exists  ain A  such that  f(a)=b  .,1
An element  x  of a ring  R  is nilpotent if there exists  n in mathbb Z  such that  x^n =0  .,1
A loop is a path  p  such that  p(0) = p(1)  .,1
This point is called the basepoint of the loop.,1
A topological space is a set  X  together with a collection  T  of subsets of  X  .,1
The elements of  T  are called the open sets and they satisfy the following properties: (i)  Xin T  and  emptyset in T ; (ii) Arbitrary unions of open sets are open; (iii) Finite intersections of open sets are open.,1
The choice of  T  is called a topology on  X  .,1
Let  A  be a finite abelian group.,0
The exponent of  A  is the least common multiple of the orders of all of the elements of  A  .,1
"Let  (X,mathcal T)  be a Hausdorff topological space and let  Sigma  be a σ - algebra containing  mathcal T  (so that  Sigma  is at least as fine as the Borel σ - algebra on  X  ).",0
"A measure  mu  on  Sigma  is locally finite if for all  p in X  , there exists an open neighborhood  N_p  of  p  such that the  mu  - measure of  N_p  is finite.",1
"That is,  forall p in X, exists N_p in T text{ s.t. } p in N_p text{ and } |mu(N_p)| < infty  .",0
Let  A  be an algebra over the ring  R  .,0
"A left ideal  I  of  A  is a subalgebra of  A  such that  axin I  for all  ain A  ,  xin I  .",1
"Equivalently (if we want to elide the subalgebra condition), a left ideal  I  of  A  is a subset  Isubset A  such that for all  x,yin I  ,  ain A  , and  rin R  , (i)  x - yin I  ; (ii)  rxin I  ; (iii)  axin I  .",1
Let  V  be a finite - dimensional vector space with  text{dim}(V) = ell +1  .,0
Let  mathfrak{sl}(V)  be the set of endomorphisms of  V  with trace equal to zero.,0
"Since  text{Tr}(xy)= text{Tr}(yx)  and  text{Tr}(x+y) =text{Tr}(x)+text{Tr}(y)  ,  mathfrak{sl}(V)  is a subalgebra of the general linear algebra  mathfrak{gl}(V)  .",1
A neighborhood of a point  x  in a topological space  X  is a subset  N  of  X  containing  x  which contains an open set  Usubseteq N  that also contains  x  .,1
Let  R  be a ring.,0
A nonzero element  rin R  is a zero divisor if there exists nonzer  sin R  such that  sr = 0  or  rs = 0  .,1
A subspace  A  of a topological space  X  is compactly closed if the inverse image  g^{ - 1}(A)  is closed in  K  for any map  g:Kto X  from a compact Hausdorff space  K  into  X  .,1
Let  L  be a Lie algebra.,0
Its derived series is given by the derived algebras  } ,1
"The transition function of two charts  (U,phi)  and  (V, psi)  on a manifold  M  is the composition  psi circ phi^{ - 1}: phi(Ucap V)to psi(Ucap V)  .",1
Let  G  be a group.,0
"The lower central series for  G  is defined as follows: Let  G_0=G  , let  G_1 = G,G  , and for each  i geq 1  , define  G_{i+1} = G,G_{i}  where the bracket notation denotes a particular subgroup of the commutator subgroup:  G,H = {ghg^{ - 1}h^{ - 1}mid gin G, hin H}  .",1
Note that this series may or may not reach the trivial subgroup.,0
"A norm  |cdot | : Ato mathbb R  on an algebra  A  is called multiplicative if  |1_A| = 1  and for all  a,bin A  ,  |ab| leq |a|cdot |b|  .",1
"A topological space  X  is semi - locally simply connected if every point  bin B  has a neighborhood  U  such that the map  pi_1(U,b)to pi_1(B,b)  between fundamental groups is the trivial group homomorphism.",1
Let  G  be a finite group.,0
Consider the space of complex - valued class functions on  G  .,0
"It has a Hermitian inner product given by  langle f_1,f_2rangle_G = frac{1}{|G|}sum_{gin G} f_1(g)overline{f_2(g)}  where  |G|  denotes the order of  G  .",0
"The normalizer of a subspace  U  of a vector space  V  is given by  N_V(U) = {xin Vmid x,Usubset U}  .",1
"Let  (X,Sigma,mu)  and  (Y,T,nu)  be measure spaces and let  T: L_1(X,mu) to L_1(Y,nu)  be an operator that maps measurable functions on  X  to measurable functions on  Y  .",1
"Let  1leq p,qleq infty  .",0
"Then  T  is of type strong  (p,q)  if there exists a constant  c > 0  such that  ||Tf||_q leq c||f||_p  .",1
"This immediately implies that (i)  T  is a bounded operator; (ii) Weak  (p,infty)  is equivalent to strong  (p,infty)  .",0
Let  f:Ato B  be a function.,0
A left inverse of  f  is a function  g:Bto A  such that  gcirc f(a) = a  for all  a in A  .,1
A right inverse of  f  is a function  g:Bto A  such that  fcirc g(b) = b  for all  bin B  .,1
An inverse of  f  is a function  f^{ - 1}  that is both a left and a right inverse of  f  .,1
A singular n - simplex is a map  sigma: Delta^n to X  from the standard n - simplex to a topological space  X  .,1
"The opposite category  mathcal C^{text{op}}  of a category  mathcal C  is a category consisting of the same objects as  mathcal C  , but with morphisms  mathcal C^text{op}(A,B) = mathcal C(B,A)  .",1
Let  f:S^nto S^n  be a function.,0
The induced homomorphism  f_*: tilde H_n(S^n)to tilde H_n(S^n)  is a homomorphism from an infinite cyclic group to itself.,1
Thus it must be of the form  f_*(alpha) = dalpha  for some integer  d  depending only on  f  .,0
The integer  d  is the degree of  f  .,1
Let  F  be a D - shaped diagram in the category  mathcal Dmathcal C  .,0
"The colimit of  F  , written  text{colim}F  , is an object of  mathcal C  together with a morphism of diagrams  iota: Fto underline{text{colim} F}  that is initial among all such morphisms.",1
"That is, if  eta:Fto underline A  is a morphism of diagrams, then there is a unique map  tilde eta:text{colim}(F)to A  in  mathcal C  such that  tilde etacirc iota = eta  .",1
We can also express this as a diagram.,0
"For each map  d:Dto D'  in  mathcal D  , the following diagram commutes:",0
"Let  text{Aut}(E)subset text{Cov}(E,E)  in the category of covering spaces of some connected locally path - connected topological space  B  denote the group of automorphisms of the cover  E  .",0
A linear transformation  T:Vto V  is self - adjoint if  T^*=T  .,1
The inverse of an  ntimes n  matrix  A  is an  ntimes n  matrix  A^{ - 1}  such that the products  AA^{ - 1} = A^{ - 1}A = I_n  where  I_n  is the  ntimes n  identity matrix.,1
Let  Msubsetmathbb R^n  .,0
"Then  M  is an embedded  m  - dimensional manifold if for all  xin M  , there exists a neighborhood  U subsetmathbb R^n  of  x  and a smooth function  f:Utomathbb R^{n - m}  such that  Mcap U = f^{ - 1}(0)  and  Df(y):mathbb R^ntomathbb R^{n - m}  is surjective for all  y in U  .",1
"An equivalence relation  sim  on a set  X  is a binary relation that is reflexive, symmetric, and transitive.",1
"That is, for all  a,b,c in X  , (i)  asim a ; (ii)  a sim b  if and only if  b sim a ; (iii) If  a sim b  and  b sim c  , then  asim c  .",0
A subset  A  of a topological space  X  has the Baire property if there exists an open set  G  such that the symmetric difference of  A  and  G  (  A triangle G  ) is meager.,1
A field  k  is algebraically closed if every non - constant polynomial in  kt  has a root in  k  .,1
Let  I  be the unit interval.,0
"A pair of compactly generated topological spaces  (X,A)  (where  A  is a subspace of  X  ) is called an NDR pair (stands for neighborhood deformation retract pair) if there exists a map  u:Xto I  such that the fiber  u^{ - 1}(0) = A  and if there exists a homotopy  h:Xtimes I to X  such that  h_0 = text{id}  ,  h(a,t) = a  for all  ain A  and  tin I  , and  h(x,q) in A  if  u(x)<1  .",1
"Such a pair is a DR pair if  u(x) < 1  for all  xin X  , and this implies that  A  is a deformation retract of  X  .",1
"Given a group  G  and an action of  G  on two sets  X  and  Y  , then the collection of maps between  X  and  Y  (denoted  text{Maps}X,Y  ) is naturally a G - set in the following way: Given a function  fin text{Maps}X,Y  , consider the graph  text{Graph}(f) = {(x,f(x))in Xtimes Y mid xin X}  .",1
"Let  G  act diagonally on  Xtimes Y  : that is, define  g.(x,y) = (g.x,g.y)  .",0
Then define  g^*f  by  text{Graph}()g^*f = g(text{Graph}(f))  .,0
"Explicitly, for  gx' = x  , we have  g^*f(x) = g(f(x')) implies g^*f(x) = gf(g^{ - 1}x)  .",0
We can see the map as the composite  g^*f: Xoverset{g^{ - 1}}{to} X overset{f}{to} Y overset{g}{to} Y  .,0
The general linear group  GL(n)  or  GL(V)  is the group of automorphisms of an  n  - dimensional vector space  V  .,1
"Equivalently, it is the group of invertible  ntimes n  matrices.",0
"A metric space is separable if it contains a countable, dense subset.",1
Let  L  be a formal language of propositional logic and let  Gammasubseteq text{Form}(L)  .,0
"A model for  Gamma  is a truth function  t:text{Form}(L) to {0,1}  such that  t(gamma) = 1  for all  gammain Gamma  .",1
"For any  phi in text{Form}(L)  , we say that  Gamma  models  phi  if for every model  t  of  Gamma  ,  t(phi) = 1  .",1
The volume of a rectangle  Q  in  mathbb R^n  is the product of the lengths of the component intervals of  Q  :  text{vol}(Q) = (b_1 - a_1)cdots(b_n - a_n)  .,1
The symmetric differential basis is the differential basis consisting of balls centered around each  x in mathbb R^n  .,1
The equivalence classes with respect to the connection equivalence relation are called connected components of  X  .,1
"Let  (X,Sigma)  be a measurable space with  mu  a signed measure.",0
The positive variation of  mu  is the function  pi  given by  pi(A) = sup_{Ssubset A} mu(S)  .,1
Let  X  be a topological space and let  A  be a subspace of  X  .,0
"Define a chain complex whose elements are the quotients  C_n(X,A) = C_n(X)/C_n(A)  of elements of the chain complex on the groups of n - chains of  X  and  A  , respectively.",0
"Note that chains in  A  are trivial in  C_n(X,A)  .",0
"The boundary homomorphism  partial:C_n(X)to C_{n - 1}(X)  sends  C_n(A)  to  C_{n - 1}(A)  , so it induces a quotient boundary map  partial: C_n(X,A)to C_{n - 1}(X,A)  .",0
The requisite relation in which composition of consecutive boundary maps is zero is met because it is met before taking the quotient.,0
"The homology groups of this chain complex are called the relative homology groups  H_n(X,A)  .",1
"A partition  P  of a closed interval  a,b  is a finite collection of points in  a,b  such that  a,b in P  .",1
